code,name
B2A,Buff-banded Rail
,Spotted Kingfisher
H9B,Paddyfield Pipit
B2C,Watercock
C5H,Crested Goshawk
,Fire-breasted Flowerpecker
A1E,Philippine Duck
E3A,White-vented Whistler
A9D,Asian Palm-Swift
B4K,Sharp-tailed Sandpiper
B6A,Black-headed Gull
F7A,Clamorous Reed Warbler
,Visayan Rhabdornis
E1A,Golden-bellied Gerygone
,Turquoise Flycatcher
D5A,Philippine Falconet
B1A,Whiskered Treeswift
F9D,Asian House-Martin
A6D,Philippine Drongo-Cuckoo
H9A,Eastern Yellow Wagtail
,Eurasian Kestrel
F5A,Australasian Bushlark
,Nordmann's Greenshank
G2B,Philippine Leaf Warbler
G2B,Lemon-throated Leaf Warbler
A5C,Philippine Collared-Dove
G2C,Kamchatka Leaf Warbler
A5F,Asian Emerald Dove
E8A,Balicassiao
H1H,Mugimaki Flycatcher
A5F,Zebra Dove
A5J,Yellow-breasted Fruit-Dove
A9C,Ameline Swiftlet
B4J,Great Knot
C5J,White-bellied Sea-Eagle
C6A,Australasian Grass-Owl
D9A,Blue-breasted Pitta
C4A,Black Bittern
B4A,Beach Thick-knee
,Pied Stilt
B4K,Red-necked Stint
C4C,Great Egret
